date,close,volume,nbdi
2019-01-19,3536.19,7430.51959727,114.5555
2019-01-20,3531.76,6493.83265776,114.5555
2019-01-21,3577.03,9658.63220705,114.5555
2019-01-22,3553.01,8205.65630491,114.7515
2019-01-23,3568.97,5827.07203747,114.5732
2019-01-24,3562.17,6834.07115259,114.614
2019-01-25,3556.07,5602.74054612,114.0168
2019-01-26,3531.02,4286.50898961,114.0168
2019-01-27,3429.95,13775.65442083,114.0168
2019-01-28,3397.42,8709.69730139,114.0493
2019-01-29,3437.55,8513.95881185,114.0227
2019-01-30,3411.5,7405.39614964,114.0705
2019-01-31,3437.5,8806.60171078,113.5476
2019-02-01,3468.43,3967.92350855,113.7524
2019-02-02,3414.78,4606.56891409,113.7524
2019-02-03,3409.57,6032.81895284,113.7524
2019-02-04,3428.4,6385.43577243,113.8738
2019-02-05,3367.36,9820.67219128,114.0404
2019-02-06,3359.0,8613.79912675,114.2275
2019-02-07,3621.99,17649.47598021,114.4308
2019-02-08,3623.73,5155.45743968,114.4975
2019-02-09,3648.84,5364.52948065,114.4975
2019-02-10,3590.36,8819.26148262,114.4975
2019-02-11,3588.06,8347.13611385,115.0288
2019-02-12,3576.68,7024.94220353,114.7278
2019-02-13,3561.5,6197.23550751,114.9388
2019-02-14,3566.59,7447.04312687,115.0984
2019-02-15,3582.37,4351.61748343,114.9899
2019-02-16,3625.08,6402.7929,114.9899
2019-02-17,3867.0,16895.18406274,114.9899
2019-02-18,3888.01,14845.22658779,114.9899
2019-02-19,3938.99,8929.2721525,114.5676
2019-02-20,3897.71,8806.93272354,114.5676
2019-02-21,3942.02,7667.21817378,114.507
2019-02-22,4110.0,10844.79746285,114.2692
2019-02-23,3734.22,17002.16745501,114.2692
2019-02-24,3818.79,11164.08173195,114.2692
2019-02-25,3799.48,6520.29872931,114.1432
2019-02-26,3799.91,8297.56906415,114.0662
2019-02-27,3792.14,9852.47269969,114.0337
2019-02-28,3806.17,6816.69897242,114.1971
2019-03-01,3809.7,3720.64470762,114.535
2019-03-02,3786.93,4100.67673393,114.535
2019-03-03,3700.72,8335.76872427,114.535
2019-03-04,3844.59,9534.91911905,114.6903
2019-03-05,3851.89,6911.18572899,114.8019
2019-03-06,3857.05,7308.01574651,114.9697
2019-03-07,3843.12,8988.38343108,115.4905
2019-03-08,3917.0,5821.05637535,115.3585
2019-03-09,3900.92,3602.23313878,115.3585
2019-03-10,3849.68,6170.4651356,115.3585
2019-03-11,3860.0,6921.17284956,115.2953
2019-03-12,3851.02,5689.69622247,114.9376
2019-03-13,3853.95,7895.18815498,114.7361
2019-03-14,3902.8,6794.31389855,114.7891
2019-03-15,3990.0,6801.89533817,114.5808
2019-03-16,3967.01,3579.86643543,114.5808
2019-03-17,3970.5,5613.64637341,114.5808
2019-03-18,4000.85,5889.02569989,114.4368
2019-03-19,4031.85,7321.39290672,114.2313
2019-03-20,3972.76,9362.01127686,114.1497
2019-03-21,3983.78,5137.20746387,114.1672
2019-03-22,3983.43,4145.33997822,114.6845
