day,low,high,open,close,volume
2022-03-28,46589.0,48124.94,47146.92,47454.19,15776.65108647
2022-03-27,46662.28,48240.0,46850.01,47144.92,18787.66318707
2022-03-26,44437.22,46950.0,44538.21,46850.01,10356.10317002
2022-03-25,44091.09,44820.58,44336.19,44539.42,7305.17827992
2022-03-24,43605.8,45130.91,44012.36,44331.85,19128.13735444
2022-03-23,42627.48,44241.0,42899.71,44012.29,21827.93263859
2022-03-22,41766.79,43036.95,42376.03,42899.71,13745.27563632
2022-03-21,40885.19,43389.79,41017.7,42378.26,19913.28660924
2022-03-20,40509.0,41578.33,41287.24,41017.71,10996.47661055
2022-03-19,40918.72,42330.1,42232.05,41287.24,7621.03036678
2022-03-18,41534.89,42429.0,41781.37,42232.26,8630.97283924
2022-03-17,40130.0,42396.04,40950.23,41774.98,17181.15226772
2022-03-16,40521.0,41486.0,41127.96,40950.33,15717.77421989
2022-03-15,38850.0,41717.67,39298.11,41127.97,22805.48259593
